rid	src_en	target_err	mt_de
140	"According to the Federal Aviation Administration (FAA), ""get-there-itis"" is a common factor in many aviation accidents and incidents."	NAM	 Laut der Federal Aviation Administration (FAA) ist die „Ankunftsitis“ ein häufiger Faktor bei vielen Unfällen und Zwischenfällen in der Luftfahrt.
141	The Wikipedia article describes a social-democratic party meeting in the western sector (what would become West Berlin later):	NAM	 Der Wikipedia-Artikel beschreibt eine sozialdemokratische Parteiversammlung im Westsektor (dem späteren West-Berlin):
142	"Quote from a video on YouTube : ""There are many Jewish families in the country who do it."	NAM	Zitat aus einem Video auf YouTube: „Es gibt viele jüdische Familien im Land, die das tun.
143	I was born in the United States, therefore making me a US Citizen and have a US Passport.	NAM	 Ich wurde in den Vereinigten Staaten geboren, bin daher US-Bürger und besitze einen US-Pass.
144	It is one of the most common bacterial sexually transmitted infections ( STI ) in England and worldwide.	NAM	 Es handelt sich um eine der häufigsten bakteriellen sexuell übertragbaren Infektionen (STI) in England und weltweit.
145	This helpsheet will help you to fill in the Capital Gains Tax summary pages of your tax return.	NAM	 Dieses Hilfeblatt unterstützt Sie beim Ausfüllen der Kapitalertragsteuer-Zusammenfassungsseiten Ihrer Steuererklärung.
146	Historic notifications published by the MHRA continue to be legal for supply in Great Britain and Northern Ireland.	NAM	 Von der MHRA veröffentlichte historische Mitteilungen sind weiterhin für die Lieferung in Großbritannien und Nordirland legal.
147	Send all other financial remedy documents or forms to: HMCTS Financial Remedy PO BOX 12746 Harlow CM20 9QZ	NAM	 Senden Sie alle anderen Dokumente oder Formulare zur finanziellen Abhilfe an: HMCTS Financial Remedy PO BOX 12746 Harlow CM20 9QZ
148	The PrOF provides the framework, mandatory rules and guiding principles for the implementation of FCDO delivered policy programming.	NAM	 Der PrOF bietet den Rahmen, verbindliche Regeln und Leitlinien für die Umsetzung der vom FCDO bereitgestellten politischen Programmierung.
149	This document is for pregnant women who are offered a CVS or amniocentesis test following antenatal screening tests.	NAM	 Dieses Dokument richtet sich an schwangere Frauen, denen nach vorgeburtlichen Screening-Tests ein CVS- oder Amniozentese-Test angeboten wird.
150	Find school and college performance data KS4 qualifications, discount codes and point scores for the school performance measures	NAM	Finden Sie Leistungsdaten von Schulen und Hochschulen, KS4-Qualifikationen, Rabattcodes und Punktzahlen für die Leistungsmessungen der Schulen
151	It explains how overpayments of benefits administered by DWP are recovered, including advances of benefits and hardship payments.	NAM	 Darin wird erläutert, wie Überzahlungen von Leistungen, die vom DWP verwaltet werden, zurückgefordert werden, einschließlich Leistungsvorschüssen und Härtefallzahlungen.
152	Resources to support the immunisation programmes are available free to order from the Find Public Health Resources website.	NAM	 Ressourcen zur Unterstützung der Impfprogramme können kostenlos auf der Website „Find Public Health Resources“ bestellt werden.
153	The purpose of the GSR Code is to set out the GSR ’s additional professional standards of behaviour.	NAM	 Der Zweck des GSR-Kodex besteht darin, die zusätzlichen beruflichen Verhaltensstandards des GSR festzulegen.
154	Previous editions can be found on Ogden Tables (previous editions) actuarial compensation tables for injury and death .	NAM	 Frühere Ausgaben finden Sie in den Ogden Tables (frühere Ausgaben) mit versicherungsmathematischen Entschädigungstabellen für Verletzungen und Todesfälle.
155	BOLD has so far focused on reducing homelessness, supporting victims of crime, reducing substance misuse, and reducing reoffending.	NAM	 BOLD hat sich bisher auf die Reduzierung der Obdachlosigkeit, die Unterstützung von Kriminalitätsopfern, die Reduzierung des Drogenmissbrauchs und die Verringerung der Rückfallquote konzentriert.
156	They work with the public and alongside police, HM Revenue & Customs, local authorities and other local partners.	NAM	 Sie arbeiten mit der Öffentlichkeit und mit der Polizei, HM Revenue & Customs, lokalen Behörden und anderen lokalen Partnern zusammen.
157	The Medicines and Healthcare products Regulatory Agency (MHRA) is the regulatory authority for the UK medical device market.	NAM	 Die Medicines and Healthcare products Regulatory Agency (MHRA) ist die Regulierungsbehörde für den britischen Markt für Medizinprodukte.
158	Detailed information for homeless people and the organisations supporting them when making and managing a Universal Credit claim.	NAM	Detaillierte Informationen für Obdachlose und die Organisationen, die sie bei der Beantragung und Verwaltung eines Universal Credit-Antrags unterstützen.
159	When you are ready to apply for an EHC, you will need to register for EHC online .	NAM	 Wenn Sie bereit sind, ein EHC zu beantragen, müssen Sie sich online für das EHC registrieren.
160	You can view planned sessions and book your space at DfE academies chart of accounts and automation .	NAM	 Sie können geplante Sitzungen anzeigen und Ihren Platz im Kontenplan und bei der Automatisierung der DfE-Akademien buchen.
161	The specification sets out the rules for carrying out publicly funded criminal defence work in England and Wales.	NAM	 Die Spezifikation legt die Regeln für die Durchführung öffentlich finanzierter Strafverteidigungsarbeit in England und Wales fest.
162	The Secretary of State and Welsh ministers have established new joint reservoir engineer panels for England and Wales.	NAM	 Der Staatssekretär und die walisischen Minister haben neue gemeinsame Reservoir-Ingenieurgremien für England und Wales eingerichtet.
163	For more information see the joint determination made by the Secretary of State and the Welsh ministers .	NAM	 Weitere Informationen finden Sie in der gemeinsamen Entscheidung des Staatssekretärs und der walisischen Minister.
164	Order copies of this leaflet are for free from the Health Publications orderline, using product code PCQG12EN .	NAM	 Exemplare dieser Broschüre können Sie kostenlos über die Bestellhotline von Health Publications unter der Produktnummer PCQG12EN bestellen.
165	Open for applications The ILAP is now open for Innovation Passport applications, the entry point into the ILAP.	NAM	 Offen für Bewerbungen. Das ILAP ist jetzt für Bewerbungen für den Innovation Passport geöffnet, den Einstiegspunkt in das ILAP.
166	The Department for Education (DfE) has selected schools to become early adopters through an expression of interest process.	NAM	Das Bildungsministerium (DfE) hat im Rahmen eines Interessenbekundungsverfahrens Schulen als Early Adopters ausgewählt.
167	Cabinet Office teams SLAs - publicise and meet ‘service level agreements’ to ensure timely assurance and approval processes.	NAM	 SLAs der Kabinettsbüroteams – veröffentlichen und erfüllen Sie „Service Level Agreements“, um zeitnahe Zusicherungs- und Genehmigungsprozesse sicherzustellen.
168	You will receive a letter from the Home Office confirming the exact date your asylum support will end.	NAM	 Sie erhalten vom Innenministerium einen Brief mit der Bestätigung des genauen Datums, an dem Ihre Asylunterstützung endet.
169	The components are based on the most current data DfE holds to calculate the share of the grant.	NAM	 Die Komponenten basieren auf den aktuellsten Daten, die dem DfE zur Berechnung des Zuschussanteils vorliegen.
170	Always check the local parking rules of the place you want to use your Blue Badge before parking.	NAM	 Informieren Sie sich vor dem Parken immer über die örtlichen Parkvorschriften des Ortes, an dem Sie Ihren Blue Badge verwenden möchten.
171	By submitting feedback for PPRS to take up, you are accepting the scope and remit of the service.	NAM	 Indem Sie Feedback zur Bearbeitung an PPRS senden, akzeptieren Sie den Umfang und den Aufgabenbereich des Dienstes.
172	Information about claiming an estate and a list of unclaimed estates held by the Ministry of Defence (MOD).	NAM	 Informationen zur Beanspruchung eines Nachlasses und eine Liste nicht beanspruchter Nachlässe im Besitz des Verteidigungsministeriums (MOD).
173	As part of this pilot, Welsh Government aim to ensure that challenges unique to Wales are also addressed.	NAM	 Im Rahmen dieses Pilotprojekts möchte die walisische Regierung sicherstellen, dass auch die für Wales spezifischen Herausforderungen angegangen werden.
174	The notification process helps ensure that unlicensed medicinal products meet the required regulations for use in the UK.	NAM	Das Meldeverfahren trägt dazu bei, sicherzustellen, dass nicht zugelassene Arzneimittel die erforderlichen Vorschriften für die Verwendung im Vereinigten Königreich erfüllen.
175	How to Apply Online applications The Ministry of Defence encourages all eligible applicants to submit their applications online.	NAM	 So bewerben Sie sich: Online-Bewerbungen Das Verteidigungsministerium empfiehlt allen berechtigten Bewerbern, ihre Bewerbungen online einzureichen.
176	This grant determination letter applies to funding claimed from the Adult Social Care Learning and Development Support Scheme.	NAM	 Dieser Zuschussbescheid gilt für beantragte Mittel aus dem Adult Social Care Learning and Development Support Scheme.
177	Related information Career Transition Partnership Veterans Welfare Service Armed Forces Covenant Financial and Employment Support (Royal British Legion)	NAM	 Verwandte Informationen Career Transition Partnership Veterans Welfare Service Armed Forces Covenant Finanzielle und berufliche Unterstützung (Royal British Legion)
178	It also includes a checklist to help Designated Retailers in dealing with suppliers and compliance with Supply Agreements.	NAM	 Es enthält außerdem eine Checkliste, die den benannten Einzelhändlern beim Umgang mit Lieferanten und der Einhaltung von Liefervereinbarungen hilft.
179	The technology can facilitate visualisation of how a process operates, in real time, within Enterprise Resource Planning (ERP).	NAM	 Die Technologie kann die Visualisierung der Funktionsweise eines Prozesses in Echtzeit innerhalb der Enterprise-Ressourcenplanung (ERP) erleichtern.
180	This defines common data items that schools use in MIS software and we use in our data collections.	NAM	 Dies definiert allgemeine Datenelemente, die Schulen in MIS-Software verwenden und die wir in unseren Datensammlungen verwenden.
181	This guide explains how to claim Business Asset Roll-over Relief and get relief for assets you’ve disposed of.	NAM	In diesem Leitfaden wird erläutert, wie Sie die Steuererleichterung für die Übertragung von Geschäftsvermögen beantragen und eine Steuererleichterung für Vermögenswerte erhalten, die Sie veräußert haben.
182	This guide gives details of the information held by HM Land Registry and how you may obtain it.	NAM	 Dieser Leitfaden enthält Einzelheiten zu den vom HM Land Registry gespeicherten Informationen und wie Sie diese erhalten können.
183	A key goal of the PYRAMID programme is to maximise adoption on both a national and international level.	NAM	 Ein Hauptziel des PYRAMID-Programms besteht darin, die Akzeptanz auf nationaler und internationaler Ebene zu maximieren.
184	Some newer medicines, like Mounjaro, also act on a second hormone involved in appetite and blood sugar control.	NAM	 Einige neuere Medikamente, wie Mounjaro, wirken auch auf ein zweites Hormon, das an der Appetit- und Blutzuckerkontrolle beteiligt ist.
185	These documents are for public sector customers of the Crown Commercial Service wishing to use the eSourcing tool.	NAM	 Diese Dokumente sind für Kunden des Crown Commercial Service im öffentlichen Sektor bestimmt, die das eSourcing-Tool verwenden möchten.
186	Paper copies of the English version, product code 2213689EN001 of this leaflet are free to order or download.	NAM	 Papierexemplare der englischen Version dieser Broschüre (Produktcode 2213689EN001) können kostenlos bestellt oder heruntergeladen werden.
187	We regularly update the CBDS , publishing any changes and the reasons for them as request-for-change documents .	NAM	 Wir aktualisieren das CBDS regelmäßig und veröffentlichen alle Änderungen und deren Gründe als Änderungsantragsdokumente.
